Action,Sequence,Data
happy,0,[0.6456197500228882 0.6088322401046753 -1.2702387571334839 ... 0.0 0.0 0.0]
happy,0,[0.6662148237228394 0.6033232808113098 -1.2151590585708618 ... 0.0 0.0 0.0]
happy,0,[0.6758845448493958 0.600671648979187 -1.196045994758606 ... 0.0 0.0 0.0]
happy,0,[0.6930321455001831 0.5957848429679871 -1.0192288160324097 ... 0.0 0.0 0.0]
happy,1,[0.6659035086631775 0.5904656052589417 -0.7929821014404297 ... 0.0 0.0 0.0]
happy,1,[0.6493891477584839 0.5903688073158264 -0.7769660949707031 ... 0.0 0.0 0.0]
happy,1,[0.634799063205719 0.5903292894363403 -0.6628288626670837 ... 0.0 0.0 0.0]
happy,1,[0.6350014209747314 0.5901806354522705 -0.7092674970626831 ... 0.0 0.0 0.0]
happy,1,[0.6351339221000671 0.590156614780426 -0.7071647644042969 ... 0.0 0.0 0.0]
happy,1,[0.6347328424453735 0.5902227759361267 -0.6792362928390503 ... 0.0 0.0 0.0]
happy,1,[0.6348260641098022 0.5905069708824158 -0.6690622568130493 ... 0.0 0.0 0.0]
happy,1,[0.6348618268966675 0.5905962586402893 -0.7026165723800659 ... 0.0 0.0 0.0]
happy,1,[0.6342094540596008 0.5907672643661499 -0.6618185639381409 ... 0.0 0.0 0.0]
happy,1,[0.6341503858566284 0.5907890200614929 -0.6254945397377014 ... 0.0 0.0 0.0]
happy,1,[0.6335200667381287 0.5906967520713806 -0.6671085357666016 ... 0.0 0.0 0.0]
happy,1,[0.6333873271942139 0.5903756022453308 -0.7221194505691528 ... 0.0 0.0 0.0]
happy,1,[0.6436081528663635 0.5903891921043396 -0.7629321813583374 ... 0.0 0.0 0.0]
happy,1,[0.6332348585128784 0.5905889868736267 -0.7208949327468872 ... 0.0 0.0 0.0]
happy,1,[0.6330433487892151 0.5906692743301392 -0.713286817073822 ... 0.0 0.0 0.0]
happy,1,[0.633129358291626 0.5909295678138733 -0.7050714492797852 ... 0.0 0.0 0.0]
happy,1,[0.6336098909378052 0.5908998250961304 -0.66263347864151 ... 0.0 0.0 0.0]
happy,1,[0.633256733417511 0.5908916592597961 -0.6356115341186523 ... 0.0 0.0 0.0]
happy,1,[0.6328048706054688 0.5909023880958557 -0.6553360223770142 ... 0.0 0.0 0.0]
happy,1,[0.6323515176773071 0.5909215807914734 -0.6475229859352112 ... 0.0 0.0 0.0]
happy,1,[0.632392942905426 0.5909184813499451 -0.7283296585083008 ... 0.0 0.0 0.0]
happy,1,[0.6324832439422607 0.5909227132797241 -0.6834673285484314 ... 0.0 0.0 0.0]
happy,1,[0.632766842842102 0.5908076167106628 -0.6486908793449402 ... 0.0 0.0 0.0]
happy,1,[0.6406938433647156 0.5903064608573914 -0.704118013381958 ... 0.0 0.0 0.0]
happy,1,[0.6391052007675171 0.5902871489524841 -0.7072569727897644 ... 0.0 0.0 0.0]
happy,1,[0.6399757266044617 0.5902706980705261 -0.6349354386329651 ... 0.0 0.0 0.0]
happy,1,[0.6380544304847717 0.5902384519577026 -0.6576403379440308 ... 0.0 0.0 0.0]
happy,1,[0.6361757516860962 0.5901925563812256 -0.6592828631401062 ... 0.0 0.0 0.0]
happy,1,[0.6354125738143921 0.5901971459388733 -0.6661882996559143 ... 0.0 0.0 0.0]
happy,1,[0.6353222131729126 0.5899579524993896 -0.6704164743423462 ... 0.0 0.0 0.0]
happy,10,[0.6299551129341125 0.6043853759765625 -1.3113819360733032 ... 0.0 0.0 0.0]
happy,10,[0.6214548349380493 0.6044877171516418 -1.2066657543182373 ... 0.0 0.0 0.0]
happy,10,[0.6192066669464111 0.6032615900039673 -1.112734079360962 ... 0.0 0.0 0.0]
happy,10,[0.6200612783432007 0.6062570810317993 -1.1412875652313232 ... 0.0 0.0 0.0]
happy,10,[0.6202374696731567 0.6062510013580322 -1.0902221202850342 ... 0.0 0.0 0.0]
happy,10,[0.6208934783935547 0.6063717603683472 -1.2144109010696411 ... 0.0 0.0 0.0]
happy,10,[0.6212581396102905 0.606255292892456 -1.2393519878387451 ... 0.0 0.0 0.0]
happy,10,[0.6223808526992798 0.6063433885574341 -1.2345987558364868 ... 0.0 0.0 0.0]
happy,10,[0.6258568167686462 0.6063558459281921 -1.2128660678863525 ... 0.0 0.0 0.0]
happy,10,[0.6260374784469604 0.6071881055831909 -1.246336579322815 ... 0.0 0.0 0.0]
happy,10,[0.6257795691490173 0.607323408126831 -1.2400988340377808 ... 0.0 0.0 0.0]
happy,10,[0.6258421540260315 0.607476532459259 -1.238507628440857 ... 0.0 0.0 0.0]
happy,10,[0.6164849400520325 0.6045151948928833 -1.208756685256958 ... 0.0 0.0 0.0]
happy,10,[0.6249715089797974 0.6071472764015198 -1.237983226776123 ... 0.0 0.0 0.0]
happy,10,[0.6248189806938171 0.6070955991744995 -1.2539031505584717 ... 0.0 0.0 0.0]
happy,10,[0.6248142719268799 0.6070516705513 -1.183977723121643 ... 0.0 0.0 0.0]
happy,10,[0.6247680187225342 0.607215166091919 -1.1930400133132935 ... 0.0 0.0 0.0]
happy,10,[0.6229146122932434 0.6075664758682251 -1.2133575677871704 ... 0.0 0.0 0.0]
happy,10,[0.6222715973854065 0.607517659664154 -1.2118476629257202 ... 0.0 0.0 0.0]
happy,10,[0.6223779916763306 0.6071757674217224 -1.191960096359253 ... 0.0 0.0 0.0]
happy,10,[0.621181070804596 0.6067712903022766 -1.196521282196045 ... 0.0 0.0 0.0]
happy,10,[0.6195234060287476 0.6050078272819519 -1.2110183238983154 ... 0.0 0.0 0.0]
happy,10,[0.6188434958457947 0.6048886775970459 -1.2376850843429565 ... 0.0 0.0 0.0]
happy,10,[0.6142086982727051 0.6045221090316772 -1.192136287689209 ... 0.0 0.0 0.0]
happy,10,[0.6139347553253174 0.6044313907623291 -1.196202039718628 ... 0.0 0.0 0.0]
happy,10,[0.6141198873519897 0.6044629812240601 -1.1678640842437744 ... 0.0 0.0 0.0]
happy,10,[0.616306483745575 0.6044922471046448 -1.2797458171844482 ... 0.0 0.0 0.0]
happy,10,[0.6176941394805908 0.6044730544090271 -1.2312606573104858 ... 0.0 0.0 0.0]
happy,10,[0.619122326374054 0.6027416586875916 -1.2168539762496948 ... 0.0 0.0 0.0]
happy,10,[0.6192803978919983 0.6026687026023865 -1.2156422138214111 ... 0.0 0.0 0.0]
happy,11,[0.6177539229393005 0.6045364141464233 -1.2355886697769165 ... 0.0 0.0 0.0]
happy,11,[0.616627037525177 0.6040588617324829 -1.270163893699646 ... 0.0 0.0 0.0]
happy,11,[0.6176618337631226 0.6038806438446045 -1.1955987215042114 ... 0.0 0.0 0.0]
happy,11,[0.6182336211204529 0.6039511561393738 -1.1958554983139038 ... 0.0 0.0 0.0]
happy,11,[0.6182337999343872 0.6037887930870056 -1.2422943115234375 ... 0.0 0.0 0.0]
happy,11,[0.6179616451263428 0.6036315560340881 -1.1731475591659546 ... 0.0 0.0 0.0]
happy,11,[0.6177529096603394 0.6035895943641663 -1.168473243713379 ... 0.0 0.0 0.0]
happy,11,[0.6179278492927551 0.6035818457603455 -1.1753795146942139 ... 0.0 0.0 0.0]
happy,11,[0.61793452501297 0.6037960052490234 -1.1740355491638184 ... 0.0 0.0 0.0]
happy,11,[0.6182671785354614 0.6039077043533325 -1.2006274461746216 ... 0.0 0.0 0.0]
happy,11,[0.6209408640861511 0.6039612889289856 -1.2587645053863525 ... 0.0 0.0 0.0]
happy,11,[0.6214185953140259 0.6039058566093445 -1.2491151094436646 ... 0.0 0.0 0.0]
happy,11,[0.6166880130767822 0.6039135456085205 -1.2241933345794678 ... 0.0 0.0 0.0]
happy,11,[0.6212189197540283 0.6043617129325867 -1.196608543395996 ... 0.0 0.0 0.0]
happy,11,[0.6140696406364441 0.6044999361038208 -1.1908906698226929 ... 0.0 0.0 0.0]
happy,11,[0.593533992767334 0.6024172306060791 -1.13228440284729 ... 0.0 0.0 0.0]
happy,11,[0.5857595205307007 0.5998328328132629 -1.0955522060394287 ... 0.0 0.0 0.0]
happy,11,[0.5735915899276733 0.5939264297485352 -1.0692312717437744 ... 0.0 0.0 0.0]
happy,11,[0.575767993927002 0.5925473570823669 -1.0945172309875488 ... 0.0 0.0 0.0]
happy,11,[0.5786422491073608 0.5926206707954407 -1.1045113801956177 ... 0.0 0.0 0.0]
happy,11,[0.5802627801895142 0.5930635929107666 -1.1120517253875732 ... 0.0 0.0 0.0]
happy,11,[0.5804888606071472 0.5937052369117737 -1.1482213735580444 ... 0.0 0.0 0.0]
happy,11,[0.5812957882881165 0.594477653503418 -1.193455696105957 ... 0.0 0.0 0.0]
happy,11,[0.6165561079978943 0.6038533449172974 -1.2275973558425903 ... 0.0 0.0 0.0]
happy,11,[0.6165547370910645 0.6036816239356995 -1.1828948259353638 ... 0.0 0.0 0.0]
happy,11,[0.615859866142273 0.60398268699646 -1.2154860496520996 ... 0.0 0.0 0.0]
happy,11,[0.615862250328064 0.6038914322853088 -1.1656516790390015 ... 0.0 0.0 0.0]
happy,11,[0.6157917380332947 0.603979229927063 -1.2350271940231323 ... 0.0 0.0 0.0]
happy,11,[0.6161860227584839 0.6038475036621094 -1.2343380451202393 ... 0.0 0.0 0.0]
happy,11,[0.617467999458313 0.6038936972618103 -1.2444655895233154 ... 0.0 0.0 0.0]
happy,12,[0.5822159051895142 0.5959020853042603 -1.193326711654663 ... 0.0 0.0 0.0]
happy,12,[0.5908859968185425 0.5990115404129028 -1.2572124004364014 ... 0.0 0.0 0.0]
happy,12,[0.6176572442054749 0.612433671951294 -1.2052005529403687 ... 0.0 0.0 0.0]
happy,12,[0.6173744797706604 0.6125029921531677 -1.2128256559371948 ... 0.0 0.0 0.0]
happy,12,[0.6145404577255249 0.6151607632637024 -1.1763660907745361 ... 0.0 0.0 0.0]
happy,12,[0.5904536843299866 0.6352853178977966 -1.2814977169036865 ... 0.0 0.0 0.0]
happy,12,[0.572624683380127 0.6615043878555298 -1.3451147079467773 ... 0.0 0.0 0.0]
happy,12,[0.5666231513023376 0.66892409324646 -1.3178037405014038 ... 0.0 0.0 0.0]
happy,12,[0.5647112131118774 0.6788701415061951 -1.3847793340682983 ... 0.0 0.0 0.0]
happy,12,[0.5600812435150146 0.6841267347335815 -1.3505085706710815 ... 0.0 0.0 0.0]
happy,12,[0.5607516765594482 0.6813987493515015 -1.3754055500030518 ... 0.0 0.0 0.0]
happy,12,[0.5497636795043945 0.6787598729133606 -1.2227870225906372 ... 0.0 0.0 0.0]
happy,12,[0.5985708236694336 0.6023072600364685 -1.2384083271026611 ... 0.0 0.0 0.0]
happy,12,[0.5512850880622864 0.6767345666885376 -1.2555620670318604 ... 0.0 0.0 0.0]
happy,12,[0.5505825281143188 0.6753286719322205 -1.2518978118896484 ... 0.0 0.0 0.0]
happy,12,[0.5508913993835449 0.6631731390953064 -1.2579667568206787 ... 0.0 0.0 0.0]
happy,12,[0.5566301345825195 0.6468967199325562 -1.2509334087371826 ... 0.0 0.0 0.0]
happy,12,[0.5720093846321106 0.6388364434242249 -1.2444599866867065 ... 0.0 0.0 0.0]
happy,12,[0.5900551080703735 0.6327832341194153 -1.245840311050415 ... 0.0 0.0 0.0]
happy,12,[0.5993956327438354 0.6287697553634644 -1.2515772581100464 ... 0.0 0.0 0.0]
happy,12,[0.5966941118240356 0.6250814199447632 -1.19960618019104 ... 0.0 0.0 0.0]
happy,12,[0.5959277749061584 0.6234186887741089 -1.208219289779663 ... 0.0 0.0 0.0]
happy,12,[0.5955847501754761 0.6200725436210632 -1.2056608200073242 ... 0.0 0.0 0.0]
happy,12,[0.6027597188949585 0.6043014526367188 -1.2727811336517334 ... 0.0 0.0 0.0]
happy,12,[0.605505108833313 0.6050688624382019 -1.2562564611434937 ... 0.0 0.0 0.0]
happy,12,[0.609170138835907 0.606532096862793 -1.2453142404556274 ... 0.0 0.0 0.0]
happy,12,[0.6109120845794678 0.6092451214790344 -1.239978313446045 ... 0.0 0.0 0.0]
happy,12,[0.6134268045425415 0.6099539399147034 -1.2362887859344482 ... 0.0 0.0 0.0]
happy,12,[0.6172661781311035 0.611492931842804 -1.2194645404815674 ... 0.0 0.0 0.0]
happy,12,[0.618028461933136 0.6122377514839172 -1.2156184911727905 ... 0.0 0.0 0.0]
happy,13,[0.6044774651527405 0.6179377436637878 -1.2078204154968262 ... 0.0 0.0 0.0]
happy,13,[0.6283080577850342 0.592782199382782 -1.1267974376678467 ... 0.0 0.0 0.0]
happy,13,[0.571513295173645 0.5257993340492249 -1.0394657850265503 ... 0.0 0.0 0.0]
happy,13,[0.5752835869789124 0.5281758904457092 -0.9486268162727356 ... 0.0 0.0 0.0]
happy,13,[0.5801362991333008 0.5277859568595886 -0.8922467231750488 ... 0.0 0.0 0.0]
happy,13,[0.5874392986297607 0.5278888940811157 -0.9081400632858276 ... 0.0 0.0 0.0]
happy,13,[0.5992198586463928 0.5263465642929077 -0.8601499795913696 ... 0.0 0.0 0.0]
happy,13,[0.5999931693077087 0.5286616086959839 -0.9110623598098755 ... 0.0 0.0 0.0]
happy,13,[0.599568247795105 0.5294367074966431 -0.9554516673088074 ... 0.0 0.0 0.0]
happy,13,[0.5994571447372437 0.5300755500793457 -0.9600677490234375 ... 0.0 0.0 0.0]
happy,13,[0.599529504776001 0.5305325388908386 -0.9618456959724426 ... 0.0 0.0 0.0]
happy,13,[0.603290855884552 0.531840980052948 -0.9764840006828308 ... 0.0 0.0 0.0]
happy,13,[0.6337478160858154 0.5824815034866333 -1.0774041414260864 ... 0.0 0.0 0.0]
happy,13,[0.6066580414772034 0.5327596664428711 -0.9769970774650574 ... 0.0 0.0 0.0]
happy,13,[0.6089179515838623 0.5333655476570129 -1.0640100240707397 ... 0.0 0.0 0.0]
happy,13,[0.6043094396591187 0.533643364906311 -0.8664667010307312 ... 0.0 0.0 0.0]
happy,13,[0.6035124063491821 0.534379243850708 -0.9034968614578247 ... 0.0 0.0 0.0]
happy,13,[0.6034678816795349 0.5346993803977966 -0.9187860488891602 ... 0.0 0.0 0.0]
happy,13,[0.6042585372924805 0.5350632071495056 -0.9971454739570618 ... 0.0 0.0 0.0]
happy,13,[0.6045011281967163 0.5357602834701538 -1.0002392530441284 ... 0.0 0.0 0.0]
happy,13,[0.6044820547103882 0.535968542098999 -0.9616994857788086 ... 0.0 0.0 0.0]
happy,13,[0.604461669921875 0.5365175008773804 -0.961988091468811 ... 0.0 0.0 0.0]
happy,13,[0.6045251488685608 0.5364782810211182 -0.9848508834838867 ... 0.0 0.0 0.0]
happy,13,[0.6326510906219482 0.5658600330352783 -1.0688302516937256 ... 0.0 0.0 0.0]
happy,13,[0.6301306486129761 0.5517777800559998 -1.0021770000457764 ... 0.0 0.0 0.0]
happy,13,[0.6220195889472961 0.5395228266716003 -1.062070608139038 ... 0.0 0.0 0.0]
happy,13,[0.6064766645431519 0.5390694737434387 -1.1259278059005737 ... 0.0 0.0 0.0]
happy,13,[0.5897358655929565 0.5336204171180725 -1.0838810205459595 ... 0.0 0.0 0.0]
happy,13,[0.5728434920310974 0.5324574112892151 -1.045490026473999 ... 0.0 0.0 0.0]
happy,13,[0.5691523551940918 0.5312444567680359 -1.0310343503952026 ... 0.0 0.0 0.0]
happy,14,[0.6045475602149963 0.536592423915863 -0.9235922694206238 ... 0.0 0.0 0.0]
happy,14,[0.6046880483627319 0.5383788347244263 -1.039510726928711 ... 0.0 0.0 0.0]
happy,14,[0.599078893661499 0.5434752702713013 -1.0304126739501953 ... 0.0 0.0 0.0]
happy,14,[0.5989148616790771 0.5437242388725281 -1.027949571609497 ... 0.0 0.0 0.0]
happy,14,[0.5989094972610474 0.5439902544021606 -1.0274412631988525 ... 0.0 0.0 0.0]
happy,14,[0.5987910032272339 0.5440048575401306 -1.0121831893920898 ... 0.0 0.0 0.0]
happy,14,[0.5987507104873657 0.5438851714134216 -1.0068674087524414 ... 0.0 0.0 0.0]
happy,14,[0.5987067222595215 0.5437454581260681 -1.000976324081421 ... 0.0 0.0 0.0]
happy,14,[0.5981302261352539 0.5437749624252319 -1.0075217485427856 ... 0.0 0.0 0.0]
happy,14,[0.5981265306472778 0.5437911748886108 -1.0147978067398071 ... 0.0 0.0 0.0]
happy,14,[0.5981155037879944 0.5437604784965515 -1.0004545450210571 ... 0.0 0.0 0.0]
happy,14,[0.5977469682693481 0.5433651804924011 -1.0111126899719238 ... 0.0 0.0 0.0]
happy,14,[0.6040035486221313 0.5390990972518921 -1.041459321975708 ... 0.0 0.0 0.0]
happy,14,[0.5980901718139648 0.5436923503875732 -1.011120319366455 ... 0.0 0.0 0.0]
happy,14,[0.5981985330581665 0.5435928106307983 -1.0038936138153076 ... 0.0 0.0 0.0]
happy,14,[0.5982539653778076 0.5441558957099915 -0.9836155772209167 ... 0.0 0.0 0.0]
happy,14,[0.5983442068099976 0.544365644454956 -1.0405538082122803 ... 0.0 0.0 0.0]
happy,14,[0.5983453989028931 0.5445721745491028 -1.0370444059371948 ... 0.0 0.0 0.0]
happy,14,[0.5985876321792603 0.5447266697883606 -1.0251755714416504 ... 0.0 0.0 0.0]
happy,14,[0.5972042083740234 0.5449994802474976 -1.024381160736084 ... 0.0 0.0 0.0]
happy,14,[0.5936944484710693 0.5453221201896667 -0.9914216995239258 ... 0.0 0.0 0.0]
happy,14,[0.5928319692611694 0.5458173751831055 -0.9931815266609192 ... 0.0 0.0 0.0]
happy,14,[0.5925398468971252 0.5460021495819092 -0.9860907793045044 ... 0.0 0.0 0.0]
happy,14,[0.6029862761497498 0.5400876402854919 -1.0277137756347656 ... 0.0 0.0 0.0]
happy,14,[0.6028686761856079 0.5410875678062439 -1.026066780090332 ... 0.0 0.0 0.0]
happy,14,[0.6025815010070801 0.5418386459350586 -1.0883058309555054 ... 0.0 0.0 0.0]
happy,14,[0.602287232875824 0.5423634052276611 -1.06744384765625 ... 0.0 0.0 0.0]
happy,14,[0.6014447808265686 0.5425561666488647 -1.051836609840393 ... 0.0 0.0 0.0]
happy,14,[0.5998656153678894 0.5426138639450073 -1.009213924407959 ... 0.0 0.0 0.0]
happy,14,[0.5998448133468628 0.5434320569038391 -0.9806312322616577 ... 0.0 0.0 0.0]
happy,15,[0.5921792387962341 0.5464631915092468 -0.9716668128967285 ... 0.0 0.0 0.0]
happy,15,[0.5952626466751099 0.5463894009590149 -0.9304813146591187 ... 0.0 0.0 0.0]
happy,15,[0.601958155632019 0.5468560457229614 -1.0269142389297485 ... 0.0 0.0 0.0]
happy,15,[0.6019604206085205 0.5469291806221008 -0.9409804344177246 ... 0.0 0.0 0.0]
happy,15,[0.6021440029144287 0.5465397238731384 -0.8941651582717896 ... 0.0 0.0 0.0]
happy,15,[0.6024748682975769 0.5462153553962708 -0.9211959838867188 ... 0.0 0.0 0.0]
happy,15,[0.6024852395057678 0.5461910963058472 -0.950309157371521 ... 0.0 0.0 0.0]
happy,15,[0.6024419069290161 0.5461961627006531 -0.9583574533462524 ... 0.0 0.0 0.0]
happy,15,[0.6024104356765747 0.5460770130157471 -0.9629424214363098 ... 0.0 0.0 0.0]
happy,15,[0.6026827096939087 0.5460533499717712 -0.9220617413520813 ... 0.0 0.0 0.0]
happy,15,[0.6025536060333252 0.546014130115509 -1.0085588693618774 ... 0.0 0.0 0.0]
happy,15,[0.6025480031967163 0.5457059144973755 -0.9602731466293335 ... 0.0 0.0 0.0]
happy,15,[0.5969592928886414 0.5463816523551941 -0.948198139667511 ... 0.0 0.0 0.0]
happy,15,[0.6033300161361694 0.5456764698028564 -1.016804814338684 ... 0.0 0.0 0.0]
happy,15,[0.6035217046737671 0.545685887336731 -1.0008786916732788 ... 0.0 0.0 0.0]
happy,15,[0.6054829955101013 0.5457061529159546 -0.9929780960083008 ... 0.0 0.0 0.0]
happy,15,[0.6055708527565002 0.5455725193023682 -1.0000823736190796 ... 0.0 0.0 0.0]
happy,15,[0.6074567437171936 0.5456255674362183 -1.0488057136535645 ... 0.0 0.0 0.0]
happy,15,[0.6083114743232727 0.5457226634025574 -1.0398662090301514 ... 0.0 0.0 0.0]
happy,15,[0.6089144349098206 0.5457112789154053 -1.0133758783340454 ... 0.0 0.0 0.0]
happy,15,[0.6086167693138123 0.5456898212432861 -0.9914533495903015 ... 0.0 0.0 0.0]
happy,15,[0.6074937582015991 0.545688271522522 -0.983519434928894 ... 0.0 0.0 0.0]
happy,15,[0.6063801050186157 0.5460574626922607 -1.0374836921691895 ... 0.0 0.0 0.0]
happy,15,[0.5969575643539429 0.5462474822998047 -0.9935685992240906 ... 0.0 0.0 0.0]
happy,15,[0.5969365835189819 0.5462583899497986 -0.9936933517456055 ... 0.0 0.0 0.0]
happy,15,[0.5969038009643555 0.5462597608566284 -1.1587944030761719 ... 0.0 0.0 0.0]
happy,15,[0.5969460606575012 0.5465720295906067 -1.0342220067977905 ... 0.0 0.0 0.0]
happy,15,[0.5991246700286865 0.547218918800354 -1.1050331592559814 ... 0.0 0.0 0.0]
happy,15,[0.6011538505554199 0.5471842885017395 -1.0665898323059082 ... 0.0 0.0 0.0]
happy,15,[0.6019863486289978 0.5470256805419922 -1.0217857360839844 ... 0.0 0.0 0.0]
happy,16,[0.6020409464836121 0.546103298664093 -1.0527909994125366 ... 0.0 0.0 0.0]
happy,16,[0.5916326642036438 0.5517773032188416 -1.0330920219421387 ... 0.0 0.0 0.0]
happy,16,[0.5927146673202515 0.588756263256073 -1.1954238414764404 ... 0.0 0.0 0.0]
happy,16,[0.5929950475692749 0.5886209607124329 -1.182849407196045 ... 0.0 0.0 0.0]
happy,16,[0.5959513783454895 0.5881790518760681 -1.1543779373168945 ... 0.0 0.0 0.0]
happy,16,[0.6053508520126343 0.5891851782798767 -1.2066044807434082 ... 0.0 0.0 0.0]
happy,16,[0.6101471185684204 0.5891527533531189 -1.23684561252594 ... 0.0 0.0 0.0]
happy,16,[0.6125617623329163 0.5905390977859497 -1.252899169921875 ... 0.0 0.0 0.0]
happy,16,[0.6140738725662231 0.5917055010795593 -1.118238091468811 ... 0.0 0.0 0.0]
happy,16,[0.6159971952438354 0.5951732993125916 -1.1254786252975464 ... 0.0 0.0 0.0]
happy,16,[0.6155150532722473 0.596965491771698 -1.2095259428024292 ... 0.0 0.0 0.0]
happy,16,[0.6154225468635559 0.5967910885810852 -1.1594141721725464 ... 0.0 0.0 0.0]
happy,16,[0.5838234424591064 0.5628674626350403 -1.069764256477356 ... 0.0 0.0 0.0]
happy,16,[0.6152521371841431 0.5967172980308533 -1.159683108329773 ... 0.0 0.0 0.0]
happy,16,[0.614182710647583 0.596225917339325 -1.185884952545166 ... 0.0 0.0 0.0]
happy,16,[0.6126216053962708 0.5960477590560913 -1.0154697895050049 ... 0.0 0.0 0.0]
happy,16,[0.610784649848938 0.5959102511405945 -1.0195701122283936 ... 0.0 0.0 0.0]
happy,16,[0.6106696128845215 0.5951804518699646 -1.0515377521514893 ... 0.0 0.0 0.0]
happy,16,[0.6101296544075012 0.5950366258621216 -1.0458989143371582 ... 0.0 0.0 0.0]
happy,16,[0.6100088357925415 0.594952404499054 -1.057146430015564 ... 0.0 0.0 0.0]
happy,16,[0.6099463701248169 0.59488844871521 -1.0364768505096436 ... 0.0 0.0 0.0]
happy,16,[0.6096657514572144 0.5946546196937561 -1.0310653448104858 ... 0.0 0.0 0.0]
happy,16,[0.6096858978271484 0.594150722026825 -1.0258996486663818 ... 0.0 0.0 0.0]
happy,16,[0.5750066041946411 0.5689209699630737 -1.058045744895935 ... 0.0 0.0 0.0]
happy,16,[0.5724688172340393 0.5754241943359375 -0.9931051135063171 ... 0.0 0.0 0.0]
happy,16,[0.5725415945053101 0.5852301120758057 -1.0256952047348022 ... 0.0 0.0 0.0]
happy,16,[0.5747092366218567 0.5859126448631287 -1.2162367105484009 ... 0.0 0.0 0.0]
happy,16,[0.5820654630661011 0.5868425965309143 -1.0515587329864502 ... 0.0 0.0 0.0]
happy,16,[0.5895336866378784 0.5892292857170105 -1.1124155521392822 ... 0.0 0.0 0.0]
happy,16,[0.5914605855941772 0.5889590382575989 -1.1276609897613525 ... 0.0 0.0 0.0]
happy,17,[0.6090041995048523 0.5941064357757568 -1.0996179580688477 ... 0.0 0.0 0.0]
happy,17,[0.6089614033699036 0.5940596461296082 -0.9770718812942505 ... 0.0 0.0 0.0]
happy,17,[0.6082936525344849 0.5946863293647766 -1.0291920900344849 ... 0.0 0.0 0.0]
happy,17,[0.6080819964408875 0.5952494144439697 -1.0290677547454834 ... 0.0 0.0 0.0]
happy,17,[0.6080852746963501 0.5954428315162659 -0.9862473607063293 ... 0.0 0.0 0.0]
happy,17,[0.6080702543258667 0.5958877205848694 -1.0157349109649658 ... 0.0 0.0 0.0]
happy,17,[0.608178973197937 0.5958750247955322 -1.0796267986297607 ... 0.0 0.0 0.0]
happy,17,[0.6082214117050171 0.595444917678833 -1.1298892498016357 ... 0.0 0.0 0.0]
happy,17,[0.6079741716384888 0.5954763293266296 -1.1927529573440552 ... 0.0 0.0 0.0]
happy,17,[0.6073484420776367 0.5955080389976501 -1.1477956771850586 ... 0.0 0.0 0.0]
happy,17,[0.6059791445732117 0.5955850481987 -1.190635323524475 ... 0.0 0.0 0.0]
happy,17,[0.6060078740119934 0.5950561165809631 -1.1608829498291016 ... 0.0 0.0 0.0]
